year,recipient_iso3,pmm_fh,pmm_polity,gdp,pop,unemp,disaster,civilwar
2010,BFA,5,8,10109618964,15605211,4.68,15.99999997,0
2010,BDI,6,7,2032135191,8675606,1.74,8.999999956,0
2010,CPV,4,5,1664310770,492644,10.67,0,0
2010,CMR,1,-7,26169323293,20341236,4.11,12.99999999,0
2010,CAF,5,9,2142591539,4386765,4.38,2.999999997,1
2010,TCD,3,-6,10668102735,11952134,1.59,24.00000011,1
2010,COM,3.5,-3,907978731.7,689696,6.6,0,0
2010,COG,5,9,13135580695,4273738,13.95,0,0
2010,CIV,2.5,-1,24908781285,20532944,6.71,17.99999997,0
2010,COD,3.5,5,21565720044,64563853,3.98,45.99999999,0
2010,DJI,4.5,7,1128611700,840194,11.52,0,0
2010,GNQ,5,10,16314443429,943640,8.42,0,0
2010,ERI,1.5,-6,1589515447,3170437,6.76,0,0
2010,ETH,1.5,-4,29933790334,87639962,2.34,19,1
2010,GAB,4.5,9,14372591916,1624146,20.39,0,0
2010,GMB,2,-8,1543292393,1793199,9.41,8.999999893,0
2010,GHA,6,9,32197272797,24779614,5.32,63.00000019,0
2010,GIN,1.5,-7,6853467858,10192168,4.45,8.000000009,0
2010,GNB,4.5,9,849878424.2,1522603,3.08,1.999999999,0
2010,KEN,4,6,40000088347,42030684,2.86,224.0000347,0
2010,LSO,1,-4,2234731974,1995575,26.81,0,0
2010,LBR,5,8,1998000000,3891357,2.27,1.000000002,0
2010,MDG,6,10,9982711030,21151640,4.28,0,0
2010,MWI,4.5,8,6959655571,14539609,5.94,0,0
2010,MLI,2.5,-6,10689167195,15049352,8.07,0,0
2010,MRT,4.5,8,5628882266,3494200,9.86,0,1
2010,MUS,2.5,2,10003670690,1250400,7.65,0,0
2010,MYT,5.5,7,12917367180,9813219,3.58,0,0
2010,MOZ,5,9,11104648673,23531567,3.25,5.000000004,0
2010,NAM,6.5,9,11431334447,2118877,22.1,8.000000045,0
2010,NER,2.5,2,7851191899,16464025,0.58,4.999999999,0
2010,NGA,4.5,5,361457000000,158503203,3.77,40.00000001,0
2010,RWA,4.5,6,6121234529,10039338,1.07,21.00000006,1
2010,SHN,5,7,1544380000000,199287292,4.57,449.0000113,0
2010,STP,7,10,196652514.3,180372,14.64,0,0
2010,SEN,5,6,16121314671,12678143,10.34,2.000000001,0
2010,SYC,6.5,9,969936525.3,89770,11.59,0,0
2010,SLE,6.5,9,2578026297,6415636,4.16,15.99999994,0
2010,SOM,5.5,8,29839998860,12043886,13.39,10.99999997,1
2010,ZAF,3,-6,375349000000,51216967,24.68,20,0
2010,SSD,4,7,14602072411,9508372,12.58,0,0
2010,SDN,5.5,7,65633998265,34545014,15.17,36.00000002,1
2010,SWZ,5,8,4438778547,1064841,26.82,0,0
2010,TZA,3.5,5,32014249841,44346532,2.98,9.000000005,0
2010,TGO,3.5,-1,3429461495,6421674,2.39,22.00000004,0
2010,UGA,2.5,-6,26558908398,32428164,3.61,388.0000192,1
2010,ZMB,3,-6,20265559484,13605986,13.19,8.99999999,0
2010,ZWE,1,-9,12041655200,12697728,5.22,0,0
2010,AIA,4.5,7,63275999127,12894323,2.86,41.99999994,0
2010,ATG,6,8,1148700000,88030,11.31,0,0
2010,BRB,6,8,4530000000,282131,10.69,0,0
2010,BLZ,6.5,9,1377177083,322465,8.45,0,0
2010,CRI,2.5,2,37658614803,4577371,7.17,51.00000158,0
2010,CUB,2.5,-6,64328000000,11225833,2.5,4.00000003,0
2010,DMA,7,10,493825925.9,70877,6.1,3.000004232,0
2010,DOM,4.5,8,53860175556,9695117,5.21,8.999999952,0
2010,SLV,1.5,-9,18447920000,6183877,4.89,12.00000018,0
2010,GRD,7,10,771013259.3,106227,8.22,0,0
2010,GTM,4.5,8,40676432029,14259687,3.5,2.999999963,0
2010,HTI,4,6,11661585823,9949318,15.34,222658.3065,0
2010,HND,5,8,15839344592,8317467,4.12,143.9999989,0
2010,JAM,6,10,13220556883,2810464,12.37,0,0
2010,MEX,7,9,1057800000000,114092961,5.3,193.3878488,0
2010,MSR,7,10,52516077579,6563238,6.31,2.000000043,0
2010,NIC,2,-6,8758639096,5824058,7.83,77.00000047,0
2010,PAN,6.5,10,29440300000,3642691,3.71,7.999999886,0
2010,KNA,7,10,760170370.4,49011,7.74,8.000000283,0
2010,LCA,6.5,9,1486758037,174092,17.11,0,0
2010,VCT,7,9,681225925.9,108260,19.32,0,0
2010,TTO,5,10,22157948396,1328144,4.03,4.999999809,0
2010,ARG,5,6,423627000000,40788453,7.71,6.999999992,0
2010,BOL,1,-8,19649631308,10048597,2.55,26.00000012,0
2010,BRA,7,10,2208870000000,195713637,7.73,709.0000149,0
2010,CHL,6.5,10,218538000000,17062531,8.42,507.9999958,0
2010,COL,2.5,-3,286563000000,45222699,10.98,354.0000032,1
2010,ECU,3.5,-1,69555367000,15011114,4.09,44.99999982,0
2010,GUY,2.5,-8,3432913353,749430,12.05,0,0
2010,PRY,2.5,-8,27237782850,6248017,4.57,1.00000005,0
2010,PER,4,-1,147529000000,29027680,3.3,167.9999957,1
